ID1,ID2,obsdttm,obsval
1,2,1/1/2011 0:00,230
1,2,1/12/2013 0:00,214
1,2,1/14/2012 0:00,248
1,2,1/15/2011 0:00,332
1,2,1/19/2013 0:00,184
1,2,1/21/2012 0:00,250
1,2,1/22/2011 0:00,280
1,2,1/26/2013 0:00,156
1,2,1/28/2012 0:00,206
1,2,1/29/2011 0:00,214
1,2,1/5/2013 0:00,202
1,2,1/7/2012 0:00,274
1,2,1/8/2011 0:00,268
1,2,10/1/2011 0:00,314
1,2,10/12/2013 0:00,238
1,2,10/13/2012 0:00,226
1,2,10/15/2011 0:00,318
1,2,10/19/2013 0:00,174
1,2,10/20/2012 0:00,248
1,2,10/22/2011 0:00,250
1,2,10/26/2013 0:00,164
1,2,10/27/2012 0:00,162
1,2,10/29/2011 0:00,222
1,2,10/5/2013 0:00,178
1,2,10/6/2012 0:00,214
1,2,10/8/2011 0:00,398
1,2,11/10/2012 0:00,244
1,2,11/12/2011 0:00,340
1,2,11/13/2010 0:00,130
1,2,11/16/2013 0:00,170
1,2,11/17/2012 0:00,188
1,2,11/19/2011 0:00,268
1,2,11/20/2010 0:00,222
1,2,11/23/2013 0:00,176
1,2,11/24/2012 0:00,138
1,2,11/26/2011 0:00,222
1,2,11/27/2010 0:00,166
1,2,11/3/2012 0:00,204
1,2,11/30/2013 0:00,160
1,2,11/5/2011 0:00,240
1,2,11/9/2013 0:00,212
1,2,12/1/2012 0:00,202
1,2,12/10/2011 0:00,320
1,2,12/11/2010 0:00,236
1,2,12/14/2013 0:00,208
1,2,12/15/2012 0:00,152
1,2,12/17/2011 0:00,252
1,2,12/18/2010 0:00,350
1,2,12/21/2013 0:00,126
1,2,12/22/2012 0:00,168
1,2,12/24/2011 0:00,244
1,2,12/25/2010 0:00,216
1,2,12/28/2013 0:00,168
1,2,12/29/2012 0:00,140
1,2,12/3/2011 0:00,208
1,2,12/31/2011 0:00,248
1,2,12/4/2010 0:00,174
1,2,12/7/2013 0:00,210
1,2,12/8/2012 0:00,194
1,2,2/11/2012 0:00,334
1,2,2/12/2011 0:00,276
1,2,2/16/2013 0:00,200
1,2,2/18/2012 0:00,248
1,2,2/19/2011 0:00,218
1,2,2/2/2013 0:00,136
1,2,2/23/2013 0:00,184
1,2,2/25/2012 0:00,284
1,2,2/26/2011 0:00,226
1,2,2/4/2012 0:00,190
1,2,2/5/2011 0:00,220
1,2,2/9/2013 0:00,208
1,2,3/10/2012 0:00,258
1,2,3/12/2011 0:00,340
1,2,3/16/2013 0:00,246
1,2,3/17/2012 0:00,276
1,2,3/19/2011 0:00,212
1,2,3/2/2013 0:00,162
1,2,3/23/2013 0:00,182
1,2,3/24/2012 0:00,270
1,2,3/26/2011 0:00,300
1,2,3/3/2012 0:00,228
1,2,3/30/2013 0:00,190
1,2,3/31/2012 0:00,222
1,2,3/5/2011 0:00,246
1,2,3/9/2013 0:00,218
1,2,4/13/2013 0:00,242
1,2,4/14/2012 0:00,310
1,2,4/16/2011 0:00,390
1,2,4/2/2011 0:00,214
1,2,4/20/2013 0:00,224
1,2,4/21/2012 0:00,314
1,2,4/23/2011 0:00,346
1,2,4/27/2013 0:00,164
1,2,4/28/2012 0:00,274
1,2,4/30/2011 0:00,402
1,2,4/6/2013 0:00,200
1,2,4/7/2012 0:00,332
1,2,4/9/2011 0:00,348
1,2,5/11/2013 0:00,198
1,2,5/12/2012 0:00,288
1,2,5/14/2011 0:00,318
1,2,5/18/2013 0:00,202
1,2,5/19/2012 0:00,200
1,2,5/21/2011 0:00,286
1,2,5/25/2013 0:00,158
1,2,5/26/2012 0:00,230
1,2,5/28/2011 0:00,250
1,2,5/4/2013 0:00,184
1,2,5/5/2012 0:00,334
1,2,5/7/2011 0:00,306
1,2,6/1/2013 0:00,228
1,2,6/11/2011 0:00,334
1,2,6/15/2013 0:00,186
1,2,6/16/2012 0:00,246
1,2,6/18/2011 0:00,256
1,2,6/2/2012 0:00,234
1,2,6/22/2013 0:00,202
1,2,6/23/2012 0:00,216
1,2,6/25/2011 0:00,264
1,2,6/29/2013 0:00,192
1,2,6/30/2012 0:00,272
1,2,6/4/2011 0:00,170
1,2,6/8/2013 0:00,228
1,2,6/9/2012 0:00,294
1,2,7/13/2013 0:00,236
1,2,7/14/2012 0:00,200
1,2,7/16/2011 0:00,352
1,2,7/2/2011 0:00,226
1,2,7/20/2013 0:00,192
1,2,7/21/2012 0:00,216
1,2,7/23/2011 0:00,248
1,2,7/27/2013 0:00,172
1,2,7/28/2012 0:00,220
1,2,7/30/2011 0:00,262
1,2,7/6/2013 0:00,226
1,2,7/7/2012 0:00,298
1,2,7/9/2011 0:00,290
1,2,8/10/2013 0:00,232
1,2,8/11/2012 0:00,324
1,2,8/13/2011 0:00,288
1,2,8/17/2013 0:00,186
1,2,8/18/2012 0:00,250
1,2,8/20/2011 0:00,198
1,2,8/24/2013 0:00,160
1,2,8/25/2012 0:00,252
1,2,8/27/2011 0:00,228
1,2,8/3/2013 0:00,156
1,2,8/31/2013 0:00,188
1,2,8/4/2012 0:00,254
1,2,8/6/2011 0:00,272
1,2,9/1/2012 0:00,200
1,2,9/10/2011 0:00,254
1,2,9/14/2013 0:00,268
1,2,9/15/2012 0:00,178
1,2,9/17/2011 0:00,292
1,2,9/21/2013 0:00,144
1,2,9/22/2012 0:00,188
1,2,9/24/2011 0:00,272
1,2,9/28/2013 0:00,160
1,2,9/29/2012 0:00,230
1,2,9/3/2011 0:00,200
1,2,9/7/2013 0:00,222
1,2,9/8/2012 0:00,244
2,1,1/1/2011 0:00,134
2,1,1/12/2013 0:00,128
2,1,1/14/2012 0:00,148
2,1,1/15/2011 0:00,128
2,1,1/19/2013 0:00,152
2,1,1/21/2012 0:00,188
2,1,1/22/2011 0:00,156
2,1,1/26/2013 0:00,278
2,1,1/28/2012 0:00,140
2,1,1/29/2011 0:00,182
2,1,1/5/2013 0:00,162
2,1,1/7/2012 0:00,164
2,1,1/8/2011 0:00,96
2,1,10/1/2011 0:00,106
2,1,10/12/2013 0:00,142
2,1,10/13/2012 0:00,112
2,1,10/15/2011 0:00,98
2,1,10/19/2013 0:00,168
2,1,10/20/2012 0:00,160
2,1,10/22/2011 0:00,120
2,1,10/26/2013 0:00,128
2,1,10/27/2012 0:00,144
2,1,10/29/2011 0:00,84
2,1,10/5/2013 0:00,112
2,1,10/6/2012 0:00,120
2,1,10/8/2011 0:00,104
2,1,11/10/2012 0:00,168
2,1,11/12/2011 0:00,130
2,1,11/13/2010 0:00,142
2,1,11/16/2013 0:00,146
2,1,11/17/2012 0:00,140
2,1,11/19/2011 0:00,124
2,1,11/20/2010 0:00,104
2,1,11/23/2013 0:00,166
2,1,11/24/2012 0:00,146
2,1,11/26/2011 0:00,112
2,1,11/27/2010 0:00,100
2,1,11/3/2012 0:00,146
2,1,11/30/2013 0:00,136
2,1,11/5/2011 0:00,116
2,1,11/6/2010 0:00,144
2,1,11/9/2013 0:00,164
2,1,12/1/2012 0:00,118
2,1,12/10/2011 0:00,140
2,1,12/11/2010 0:00,154
2,1,12/14/2013 0:00,132
2,1,12/15/2012 0:00,146
2,1,12/17/2011 0:00,112
2,1,12/18/2010 0:00,104
2,1,12/21/2013 0:00,196
2,1,12/22/2012 0:00,140
2,1,12/24/2011 0:00,136
2,1,12/25/2010 0:00,102
2,1,12/28/2013 0:00,184
2,1,12/29/2012 0:00,150
2,1,12/3/2011 0:00,106
2,1,12/31/2011 0:00,192
2,1,12/4/2010 0:00,128
2,1,12/7/2013 0:00,112
2,1,12/8/2012 0:00,70
2,1,2/11/2012 0:00,210
2,1,2/12/2011 0:00,174
2,1,2/16/2013 0:00,240
2,1,2/18/2012 0:00,150
2,1,2/19/2011 0:00,168
2,1,2/2/2013 0:00,156
2,1,2/23/2013 0:00,192
2,1,2/25/2012 0:00,114
2,1,2/26/2011 0:00,180
2,1,2/4/2012 0:00,156
2,1,2/5/2011 0:00,156
2,1,2/9/2013 0:00,110
2,1,3/10/2012 0:00,184
2,1,3/12/2011 0:00,206
2,1,3/16/2013 0:00,166
2,1,3/17/2012 0:00,126
2,1,3/19/2011 0:00,136
2,1,3/2/2013 0:00,230
2,1,3/23/2013 0:00,162
2,1,3/24/2012 0:00,96
2,1,3/26/2011 0:00,144
2,1,3/3/2012 0:00,148
2,1,3/30/2013 0:00,208
2,1,3/31/2012 0:00,114
2,1,3/5/2011 0:00,170
2,1,3/9/2013 0:00,220
2,1,4/13/2013 0:00,134
2,1,4/14/2012 0:00,112
2,1,4/16/2011 0:00,124
2,1,4/2/2011 0:00,146
2,1,4/20/2013 0:00,178
2,1,4/21/2012 0:00,148
2,1,4/23/2011 0:00,112
2,1,4/27/2013 0:00,212
2,1,4/28/2012 0:00,110
2,1,4/30/2011 0:00,134
2,1,4/6/2013 0:00,208
2,1,4/7/2012 0:00,118
2,1,4/9/2011 0:00,84
2,1,5/11/2013 0:00,208
2,1,5/12/2012 0:00,168
2,1,5/14/2011 0:00,180
2,1,5/18/2013 0:00,164
2,1,5/19/2012 0:00,180
2,1,5/21/2011 0:00,166
2,1,5/25/2013 0:00,152
2,1,5/26/2012 0:00,138
2,1,5/28/2011 0:00,148
2,1,5/4/2013 0:00,272
2,1,5/5/2012 0:00,132
2,1,5/7/2011 0:00,178
2,1,6/1/2013 0:00,206
2,1,6/11/2011 0:00,186
2,1,6/15/2013 0:00,172
2,1,6/16/2012 0:00,208
2,1,6/18/2011 0:00,188
2,1,6/2/2012 0:00,196
2,1,6/22/2013 0:00,156
2,1,6/23/2012 0:00,150
2,1,6/25/2011 0:00,230
2,1,6/29/2013 0:00,184
2,1,6/30/2012 0:00,148
2,1,6/4/2011 0:00,132
2,1,6/8/2013 0:00,234
2,1,6/9/2012 0:00,174
2,1,7/13/2013 0:00,136
2,1,7/14/2012 0:00,180
2,1,7/16/2011 0:00,114
2,1,7/2/2011 0:00,146
2,1,7/20/2013 0:00,148
2,1,7/21/2012 0:00,142
2,1,7/23/2011 0:00,102
2,1,7/27/2013 0:00,142
2,1,7/28/2012 0:00,134
2,1,7/30/2011 0:00,110
2,1,7/6/2013 0:00,264
2,1,7/7/2012 0:00,144
2,1,7/9/2011 0:00,142
2,1,8/10/2013 0:00,122
2,1,8/11/2012 0:00,202
2,1,8/13/2011 0:00,126
2,1,8/17/2013 0:00,160
2,1,8/18/2012 0:00,194
2,1,8/20/2011 0:00,68
2,1,8/24/2013 0:00,158
2,1,8/25/2012 0:00,154
2,1,8/27/2011 0:00,98
2,1,8/3/2013 0:00,114
2,1,8/31/2013 0:00,108
2,1,8/4/2012 0:00,136
2,1,8/6/2011 0:00,96
2,1,9/1/2012 0:00,134
2,1,9/10/2011 0:00,114
2,1,9/14/2013 0:00,146
2,1,9/15/2012 0:00,152
2,1,9/17/2011 0:00,80
2,1,9/21/2013 0:00,134
2,1,9/22/2012 0:00,142
2,1,9/24/2011 0:00,120
2,1,9/28/2013 0:00,122
2,1,9/29/2012 0:00,124
2,1,9/3/2011 0:00,112
2,1,9/7/2013 0:00,154
2,1,9/8/2012 0:00,154
3,1,1/1/2011 0:00,62
3,1,1/12/2013 0:00,38
3,1,1/14/2012 0:00,72
3,1,1/15/2011 0:00,64
3,1,1/19/2013 0:00,30
3,1,1/21/2012 0:00,62
3,1,1/22/2011 0:00,58
3,1,1/26/2013 0:00,34
3,1,1/28/2012 0:00,60
3,1,1/29/2011 0:00,120
3,1,1/5/2013 0:00,36
3,1,1/7/2012 0:00,56
3,1,1/8/2011 0:00,54
3,1,10/1/2011 0:00,32
3,1,10/12/2013 0:00,62
3,1,10/13/2012 0:00,60
3,1,10/15/2011 0:00,52
3,1,10/19/2013 0:00,54
3,1,10/20/2012 0:00,52
3,1,10/22/2011 0:00,44
3,1,10/26/2013 0:00,62
3,1,10/27/2012 0:00,52
3,1,10/29/2011 0:00,40
3,1,10/5/2013 0:00,44
3,1,10/6/2012 0:00,64
3,1,10/8/2011 0:00,68
3,1,11/10/2012 0:00,58
3,1,11/12/2011 0:00,62
3,1,11/13/2010 0:00,70
3,1,11/16/2013 0:00,74
3,1,11/17/2012 0:00,56
3,1,11/19/2011 0:00,76
3,1,11/20/2010 0:00,44
3,1,11/23/2013 0:00,62
3,1,11/24/2012 0:00,74
3,1,11/26/2011 0:00,72
3,1,11/27/2010 0:00,42
3,1,11/3/2012 0:00,58
3,1,11/30/2013 0:00,60
3,1,11/5/2011 0:00,52
3,1,11/6/2010 0:00,60
3,1,11/9/2013 0:00,54
3,1,12/1/2012 0:00,62
3,1,12/10/2011 0:00,40
3,1,12/11/2010 0:00,94
3,1,12/14/2013 0:00,80
3,1,12/15/2012 0:00,36
3,1,12/17/2011 0:00,66
3,1,12/18/2010 0:00,76
3,1,12/21/2013 0:00,70
3,1,12/22/2012 0:00,30
3,1,12/24/2011 0:00,72
3,1,12/25/2010 0:00,58
3,1,12/28/2013 0:00,50
3,1,12/29/2012 0:00,30
3,1,12/3/2011 0:00,30
3,1,12/31/2011 0:00,58
3,1,12/4/2010 0:00,58
3,1,12/7/2013 0:00,70
3,1,12/8/2012 0:00,46
3,1,2/11/2012 0:00,82
3,1,2/12/2011 0:00,86
3,1,2/16/2013 0:00,54
3,1,2/18/2012 0:00,92
3,1,2/19/2011 0:00,120
3,1,2/2/2013 0:00,28
3,1,2/23/2013 0:00,66
3,1,2/25/2012 0:00,62
3,1,2/26/2011 0:00,118
3,1,2/4/2012 0:00,62
3,1,2/5/2011 0:00,82
3,1,2/9/2013 0:00,54
3,1,3/10/2012 0:00,94
3,1,3/12/2011 0:00,116
3,1,3/16/2013 0:00,56
3,1,3/17/2012 0:00,78
3,1,3/19/2011 0:00,104
3,1,3/2/2013 0:00,68
3,1,3/23/2013 0:00,100
3,1,3/24/2012 0:00,96
3,1,3/26/2011 0:00,94
3,1,3/3/2012 0:00,62
3,1,3/30/2013 0:00,62
3,1,3/31/2012 0:00,92
3,1,3/5/2011 0:00,98
3,1,3/9/2013 0:00,60
3,1,4/13/2013 0:00,98
3,1,4/14/2012 0:00,120
3,1,4/16/2011 0:00,104
3,1,4/2/2011 0:00,84
3,1,4/20/2013 0:00,66
3,1,4/21/2012 0:00,78
3,1,4/23/2011 0:00,68
3,1,4/27/2013 0:00,102
3,1,4/28/2012 0:00,98
3,1,4/30/2011 0:00,56
3,1,4/6/2013 0:00,58
3,1,4/7/2012 0:00,90
3,1,4/9/2011 0:00,106
3,1,5/11/2013 0:00,98
3,1,5/12/2012 0:00,92
3,1,5/14/2011 0:00,78
3,1,5/18/2013 0:00,112
3,1,5/19/2012 0:00,94
3,1,5/21/2011 0:00,96
3,1,5/25/2013 0:00,74
3,1,5/26/2012 0:00,66
3,1,5/28/2011 0:00,64
3,1,5/4/2013 0:00,116
3,1,5/5/2012 0:00,96
3,1,5/7/2011 0:00,68
3,1,6/1/2013 0:00,76
3,1,6/11/2011 0:00,78
3,1,6/15/2013 0:00,98
3,1,6/16/2012 0:00,84
3,1,6/18/2011 0:00,88
3,1,6/2/2012 0:00,104
3,1,6/22/2013 0:00,76
3,1,6/23/2012 0:00,100
3,1,6/25/2011 0:00,80
3,1,6/29/2013 0:00,80
3,1,6/30/2012 0:00,92
3,1,6/4/2011 0:00,72
3,1,6/8/2013 0:00,106
3,1,6/9/2012 0:00,94
3,1,7/13/2013 0:00,100
3,1,7/14/2012 0:00,72
3,1,7/16/2011 0:00,102
3,1,7/2/2011 0:00,64
3,1,7/20/2013 0:00,80
3,1,7/21/2012 0:00,48
3,1,7/23/2011 0:00,58
3,1,7/27/2013 0:00,52
3,1,7/28/2012 0:00,60
3,1,7/30/2011 0:00,42
3,1,7/6/2013 0:00,114
3,1,7/7/2012 0:00,88
3,1,7/9/2011 0:00,96
3,1,8/10/2013 0:00,34
3,1,8/11/2012 0:00,72
3,1,8/13/2011 0:00,64
3,1,8/17/2013 0:00,52
3,1,8/18/2012 0:00,98
3,1,8/20/2011 0:00,58
3,1,8/24/2013 0:00,36
3,1,8/25/2012 0:00,82
3,1,8/27/2011 0:00,62
3,1,8/3/2013 0:00,40
3,1,8/31/2013 0:00,50
3,1,8/4/2012 0:00,62
3,1,8/6/2011 0:00,46
3,1,9/1/2012 0:00,34
3,1,9/10/2011 0:00,48
3,1,9/14/2013 0:00,68
3,1,9/15/2012 0:00,68
3,1,9/17/2011 0:00,54
3,1,9/21/2013 0:00,58
3,1,9/22/2012 0:00,54
3,1,9/24/2011 0:00,42
3,1,9/28/2013 0:00,40
3,1,9/29/2012 0:00,54
3,1,9/3/2011 0:00,58
3,1,9/7/2013 0:00,52
3,1,9/8/2012 0:00,56
4,2,1/1/2011 0:00,294
4,2,1/12/2013 0:00,310
4,2,1/14/2012 0:00,350
4,2,1/15/2011 0:00,476
4,2,1/19/2013 0:00,372
4,2,1/21/2012 0:00,306
4,2,1/22/2011 0:00,358
4,2,1/26/2013 0:00,232
4,2,1/28/2012 0:00,276
4,2,1/29/2011 0:00,298
4,2,1/5/2013 0:00,286
4,2,1/7/2012 0:00,372
4,2,1/8/2011 0:00,352
4,2,10/1/2011 0:00,442
4,2,10/12/2013 0:00,366
4,2,10/13/2012 0:00,356
4,2,10/15/2011 0:00,332
4,2,10/19/2013 0:00,306
4,2,10/20/2012 0:00,374
4,2,10/22/2011 0:00,346
4,2,10/26/2013 0:00,334
4,2,10/27/2012 0:00,272
4,2,10/29/2011 0:00,244
4,2,10/5/2013 0:00,374
4,2,10/6/2012 0:00,274
4,2,10/8/2011 0:00,402
4,2,11/10/2012 0:00,292
4,2,11/12/2011 0:00,412
4,2,11/13/2010 0:00,314
4,2,11/16/2013 0:00,324
4,2,11/17/2012 0:00,294
4,2,11/19/2011 0:00,350
4,2,11/20/2010 0:00,238
4,2,11/23/2013 0:00,280
4,2,11/24/2012 0:00,408
4,2,11/26/2011 0:00,256
4,2,11/27/2010 0:00,244
4,2,11/3/2012 0:00,346
4,2,11/30/2013 0:00,268
4,2,11/5/2011 0:00,368
4,2,11/6/2010 0:00,440
4,2,11/9/2013 0:00,312
4,2,12/1/2012 0:00,266
4,2,12/10/2011 0:00,400
4,2,12/11/2010 0:00,340
4,2,12/14/2013 0:00,330
4,2,12/15/2012 0:00,332
4,2,12/17/2011 0:00,372
4,2,12/18/2010 0:00,350
4,2,12/21/2013 0:00,314
4,2,12/22/2012 0:00,322
4,2,12/24/2011 0:00,332
4,2,12/25/2010 0:00,264
4,2,12/28/2013 0:00,278
4,2,12/29/2012 0:00,240
4,2,12/3/2011 0:00,360
4,2,12/31/2011 0:00,338
4,2,12/4/2010 0:00,346
4,2,12/7/2013 0:00,350
4,2,12/8/2012 0:00,278
4,2,2/11/2012 0:00,352
4,2,2/12/2011 0:00,436
4,2,2/16/2013 0:00,392
4,2,2/18/2012 0:00,386
4,2,2/19/2011 0:00,326
4,2,2/2/2013 0:00,198
4,2,2/23/2013 0:00,352
4,2,2/25/2012 0:00,194
4,2,2/26/2011 0:00,292
4,2,2/4/2012 0:00,318
4,2,2/5/2011 0:00,400
4,2,2/9/2013 0:00,364
4,2,3/10/2012 0:00,360
4,2,3/12/2011 0:00,416
4,2,3/16/2013 0:00,518
4,2,3/17/2012 0:00,366
4,2,3/19/2011 0:00,420
4,2,3/2/2013 0:00,262
4,2,3/23/2013 0:00,274
4,2,3/24/2012 0:00,252
4,2,3/26/2011 0:00,294
4,2,3/3/2012 0:00,244
4,2,3/30/2013 0:00,408
4,2,3/31/2012 0:00,278
4,2,3/5/2011 0:00,280
4,2,3/9/2013 0:00,330
4,2,4/13/2013 0:00,452
4,2,4/14/2012 0:00,338
4,2,4/16/2011 0:00,528
4,2,4/2/2011 0:00,300
4,2,4/20/2013 0:00,380
4,2,4/21/2012 0:00,260
4,2,4/23/2011 0:00,308
4,2,4/27/2013 0:00,284
4,2,4/28/2012 0:00,356
4,2,4/30/2011 0:00,332
4,2,4/6/2013 0:00,276
4,2,4/7/2012 0:00,264
4,2,4/9/2011 0:00,442
4,2,5/11/2013 0:00,418
4,2,5/12/2012 0:00,314
4,2,5/14/2011 0:00,282
4,2,5/18/2013 0:00,300
4,2,5/19/2012 0:00,246
4,2,5/21/2011 0:00,328
4,2,5/25/2013 0:00,234
4,2,5/26/2012 0:00,346
4,2,5/28/2011 0:00,350
4,2,5/4/2013 0:00,276
4,2,5/5/2012 0:00,362
4,2,5/7/2011 0:00,316
4,2,6/1/2013 0:00,290
4,2,6/11/2011 0:00,340
4,2,6/15/2013 0:00,362
4,2,6/16/2012 0:00,390
4,2,6/18/2011 0:00,408
4,2,6/2/2012 0:00,324
4,2,6/22/2013 0:00,298
4,2,6/23/2012 0:00,270
4,2,6/25/2011 0:00,276
4,2,6/29/2013 0:00,338
4,2,6/30/2012 0:00,312
4,2,6/4/2011 0:00,310
4,2,6/8/2013 0:00,300
4,2,6/9/2012 0:00,326
4,2,7/13/2013 0:00,310
4,2,7/14/2012 0:00,356
4,2,7/16/2011 0:00,292
4,2,7/2/2011 0:00,296
4,2,7/20/2013 0:00,296
4,2,7/21/2012 0:00,400
4,2,7/23/2011 0:00,274
4,2,7/27/2013 0:00,340
4,2,7/28/2012 0:00,256
4,2,7/30/2011 0:00,240
4,2,7/6/2013 0:00,390
4,2,7/7/2012 0:00,256
4,2,7/9/2011 0:00,314
4,2,8/10/2013 0:00,456
4,2,8/11/2012 0:00,266
